,city,year,sightings,date_time,date,time,temp,humidity,cloudcover,visibility,heatindex,moon_illumination
17861,Middletown,2011,1,12-03 18:58:00,2011-12-03,18,43,86,10,6,43,52
62090,Westland,2012,1,09-29 09:10:00,2012-09-29,9,63,55,8,6,63,97
31964,Savannah,2010,1,04-30 20:00:00,2010-04-30,20,70,87,25,6,72,81
10426,Branson,2011,1,11-24 18:00:00,2011-11-24,18,45,90,2,6,45,0
12884,Orlando,2012,1,11-07 19:51:00,2012-11-07,19,55,70,18,6,55,32
5270,Westminister,2013,1,10-04 19:00:00,2013-10-04,19,72,81,7,6,77,0
10572,Daleville,2010,1,11-25 00:17:00,2010-11-25,0,66,95,70,6,66,64
59981,Columbus,2009,1,09-19 20:00:00,2009-09-19,20,59,67,7,6,59,0
53682,Kansas City,2011,1,08-19 21:09:00,2011-08-19,21,73,96,13,1,77,60
31541,Bandera,2013,1,04-27 01:00:00,2013-04-27,1,70,98,88,2,73,79
24232,Baltimore,2009,1,02-09 18:14:00,2009-02-09,18,39,78,22,6,39,100
25657,Decatur,2012,1,03-16 00:15:00,2012-03-16,0,63,95,39,6,63,36
26337,Akron,2012,1,03-21 22:00:00,2012-03-21,22,61,87,0,6,61,0
22501,Las Vegas,2013,1,02-02 00:40:00,2013-02-02,0,41,57,89,6,41,44
31682,Cannon Falls,2011,1,04-28 21:00:00,2011-04-28,21,36,92,6,6,36,16
40604,Marine City,2012,1,06-22 22:12:00,2012-06-22,22,61,92,8,6,61,18
47695,Huntsville,2013,1,07-27 22:30:00,2013-07-27,22,66,90,42,6,66,65
11606,Carrboro,2012,1,11-03 21:00:00,2012-11-03,21,45,68,9,6,45,62
60060,Albuquerque,2013,1,09-19 19:45:00,2013-09-19,19,79,29,0,6,77,100
11579,Corpus Christi,2012,1,11-03 08:30:00,2012-11-03,8,75,79,7,6,79,62
2478,North Port,2012,1,10-19 19:00:00,2012-10-19,19,77,71,8,6,81,24
35537,Hudsonville,2013,1,05-26 22:45:00,2013-05-26,22,66,73,14,6,66,87
56756,Bismarck,2013,1,08-05 23:15:00,2013-08-05,23,66,55,11,6,66,0
31961,Houston,2009,1,04-30 23:00:00,2009-04-30,23,72,92,29,6,77,38
5260,Hamburg,2012,1,10-04 21:30:00,2012-10-04,21,46,96,17,6,46,70
53432,Yucaipa,2010,1,08-18 05:30:00,2010-08-18,5,73,49,12,6,73,55
33126,Brainerd,2012,1,05-11 21:00:00,2012-05-11,21,46,66,13,6,46,58
7338,Camarillo,2009,1,11-13 03:00:00,2009-11-13,3,48,62,0,6,48,12
40425,Upland,2011,1,06-02 20:00:00,2011-06-02,20,55,47,33,6,55,2
62857,Whittier,2013,1,09-05 20:00:00,2013-09-05,20,79,48,2,6,81,0
43506,Bettendorf,2011,1,07-10 10:06:00,2011-07-10,10,82,83,18,6,90,64
61211,Mcdonough,2009,1,09-24 22:00:00,2009-09-24,22,50,84,3,6,50,34
26203,Round Mountain,2013,1,03-20 15:00:00,2013-03-20,15,68,41,3,6,68,55
